,age,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,y,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,poutcome_other,poutcome_success,poutcome_unknown,contact_telephone,contact_unknown
16,45,0,13,1,0,5,2,98,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
17,57,0,52,1,0,5,2,38,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
18,60,0,60,1,0,5,2,219,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
19,33,0,0,1,0,5,2,54,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
20,28,0,723,1,1,5,2,262,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
21,56,0,779,1,0,5,2,164,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
22,32,0,23,1,1,5,2,160,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
23,25,0,50,1,0,5,2,342,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
24,40,0,0,1,1,5,2,181,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
25,44,0,-372,1,0,5,2,172,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
26,39,0,255,1,0,5,2,296,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
27,52,0,113,1,1,5,2,127,1,-1,0,no,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
28,46,0,-246,1,0,5,2,255,2,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
29,36,0,265,1,1,5,2,348,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
30,57,0,839,0,1,5,2,225,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
31,49,0,378,1,0,5,2,230,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
32,60,0,39,1,1,5,2,208,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
33,59,0,0,1,0,5,2,226,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
34,51,0,10635,1,0,5,2,336,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
35,57,0,63,1,0,5,2,242,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
36,25,0,-7,1,0,5,2,365,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
37,53,0,-3,0,0,5,2,1666,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
38,36,0,506,1,0,5,2,577,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
39,37,0,0,1,0,5,2,137,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
40,44,0,2586,1,0,5,2,160,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
41,50,0,49,1,0,5,2,180,2,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
42,60,0,104,1,0,5,2,22,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
43,54,0,529,1,0,5,2,1492,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
44,58,0,96,1,0,5,2,616,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
45,36,0,-171,1,0,5,2,242,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
46,58,0,-364,1,0,5,2,355,1,-1,0,no,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
47,44,0,0,1,0,5,2,225,2,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
48,55,0,0,0,0,5,2,160,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
49,29,0,0,1,0,5,2,363,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
50,54,0,1291,1,0,5,2,266,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
51,48,0,-244,1,0,5,2,253,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
52,32,0,0,1,0,5,2,179,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
53,42,0,-76,1,0,5,2,787,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
54,24,0,-103,1,1,5,2,145,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
55,38,0,243,0,1,5,2,174,1,-1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
56,38,0,424,1,0,5,2,104,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
57,47,0,306,1,0,5,2,13,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
58,40,0,24,1,0,5,2,185,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
59,46,0,179,1,0,5,2,1778,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
60,32,0,0,1,0,5,2,138,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
61,53,0,989,1,0,5,2,812,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
62,57,0,249,1,0,5,2,164,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
63,33,0,790,1,0,5,2,391,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
64,49,0,154,1,0,5,2,357,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
65,51,0,6530,1,0,5,2,91,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
66,60,0,100,0,0,5,2,528,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
67,59,0,59,1,0,5,2,273,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
68,55,0,1205,1,0,5,2,158,2,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
69,35,0,12223,1,1,5,2,177,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
70,57,0,5935,1,1,5,2,258,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
71,31,0,25,1,1,5,2,172,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
72,54,0,282,1,1,5,2,154,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
73,55,0,23,1,0,5,2,291,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
74,43,0,1937,1,0,5,2,181,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
75,53,0,384,1,0,5,2,176,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
76,44,0,582,0,1,5,2,211,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
77,55,0,91,0,0,5,2,349,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
78,49,0,0,1,1,5,2,272,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
79,55,1,1,1,0,5,2,208,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
80,45,0,206,1,0,5,2,193,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
81,47,0,164,0,0,5,2,212,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
82,42,0,690,1,0,5,2,20,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
83,59,0,2343,1,0,5,2,1042,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
84,46,0,137,1,1,5,2,246,1,-1,0,no,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
85,51,0,173,1,0,5,2,529,2,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
86,56,0,45,0,0,5,2,1467,1,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
87,41,0,1270,1,0,5,2,1389,1,-1,0,yes,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
88,46,0,16,1,1,5,2,188,2,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
89,57,0,486,1,0,5,2,180,2,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
90,42,0,50,0,0,5,2,48,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
91,30,0,152,1,1,5,2,213,2,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
92,60,0,290,1,0,5,2,583,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
93,60,0,54,1,0,5,2,221,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
94,57,0,-37,0,0,5,2,173,1,-1,0,no,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
95,36,0,101,1,1,5,2,426,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
96,55,0,383,0,0,5,2,287,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
97,60,0,81,1,0,5,2,101,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
98,39,0,0,1,0,5,2,203,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
99,46,0,229,1,0,5,2,197,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
100,44,0,-674,1,0,5,2,257,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
101,53,0,90,0,0,5,2,124,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
102,52,0,128,1,0,5,2,229,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
103,59,0,179,1,0,5,2,55,3,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
104,27,0,0,1,0,5,2,400,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
105,44,0,54,1,0,5,2,197,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
106,47,0,151,1,0,5,2,190,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
107,34,0,61,0,1,5,2,21,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
108,59,0,30,1,0,5,2,514,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
109,45,0,523,1,0,5,2,849,2,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
110,29,0,31,1,0,5,2,194,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
111,46,0,79,0,0,5,2,144,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
112,56,0,-34,1,1,5,2,212,2,-1,0,no,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
113,36,0,448,1,0,5,2,286,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
114,59,0,81,1,0,5,2,107,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
115,44,0,144,1,0,5,2,247,2,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
116,41,0,351,1,0,5,2,518,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
117,33,0,-67,1,0,5,2,364,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
118,59,0,262,0,0,5,2,178,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
119,57,0,0,0,0,5,2,98,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
120,56,0,56,1,0,5,2,439,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
121,51,0,26,1,0,5,2,79,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
122,34,0,3,1,0,5,2,120,3,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
123,43,0,41,1,1,5,2,127,2,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
124,52,0,7,0,1,5,2,175,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1
125,33,0,105,1,0,5,2,262,2,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
126,29,0,818,1,1,5,2,61,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
127,34,0,-16,1,1,5,2,78,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
128,31,0,0,1,0,5,2,143,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
129,55,0,2476,1,0,5,2,579,1,-1,0,yes,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
130,55,0,1185,0,0,5,2,677,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
131,32,0,217,1,0,5,2,345,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
132,38,0,1685,1,0,5,2,185,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
133,55,0,802,1,1,5,2,100,2,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
134,28,0,0,1,0,5,2,125,2,-1,0,no,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1
135,23,0,94,1,0,5,2,193,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
136,32,0,0,1,0,5,2,136,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
137,43,0,0,0,0,5,2,73,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1
138,32,0,517,1,0,5,2,528,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
139,46,0,265,1,0,5,2,541,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
140,53,0,947,1,0,5,2,163,1,-1,0,no,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
141,34,0,3,1,0,5,2,301,1,-1,0,no,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
142,57,0,42,0,0,5,2,46,1,-1,0,no,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
143,37,0,37,1,0,5,2,204,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
144,59,0,57,1,0,5,2,98,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
145,33,0,22,1,0,5,2,71,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
146,56,0,8,1,0,5,2,157,2,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
147,48,0,293,1,0,5,2,243,1,-1,0,no,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
148,43,0,3,1,0,5,2,186,2,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
149,54,0,348,1,0,5,2,579,2,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
150,51,0,-19,1,0,5,2,163,2,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
151,26,0,0,1,0,5,2,610,2,-1,0,no,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
152,40,0,-4,1,0,5,2,2033,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
153,39,0,18,1,0,5,2,85,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
154,50,0,139,0,0,5,2,114,2,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
155,41,0,0,1,0,5,2,114,2,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
156,51,0,1883,1,0,5,2,57,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
157,60,0,216,1,0,5,2,238,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
158,52,0,782,1,0,5,2,93,3,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
159,48,0,904,1,0,5,2,128,2,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
160,48,0,1705,1,0,5,2,107,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
161,39,0,47,1,0,5,2,181,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
162,47,0,176,1,0,5,2,303,2,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1
163,40,0,1225,1,0,5,2,558,5,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
164,45,0,86,1,0,5,2,270,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
165,26,0,82,1,0,5,2,228,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
166,52,0,271,1,0,5,2,99,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
167,54,0,1378,1,0,5,2,240,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
168,54,0,184,0,0,5,2,673,2,-1,0,yes,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
169,50,0,0,0,0,5,2,233,3,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
170,35,0,0,1,0,5,2,1056,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
171,44,0,1357,1,1,5,2,250,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
172,53,0,19,1,0,5,2,252,1,-1,0,no,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
173,35,0,434,0,0,5,2,138,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
174,60,0,92,1,0,5,2,130,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
175,53,0,1151,1,0,5,2,412,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
176,48,0,41,1,0,5,2,179,2,-1,0,no,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
177,34,0,51,1,0,5,2,19,2,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
178,54,0,214,1,0,5,2,458,2,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
179,51,0,1161,1,0,5,2,717,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
180,31,0,37,1,0,5,2,313,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
181,35,0,787,1,0,5,2,683,2,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
182,35,0,59,1,0,5,2,1077,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
183,38,0,253,1,0,5,2,416,1,-1,0,no,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
184,36,0,211,1,0,5,2,146,2,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
185,58,0,235,1,0,5,2,167,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
186,40,0,4384,1,0,5,2,315,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
187,54,0,4080,0,0,5,2,140,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
188,34,0,53,1,1,5,2,346,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
189,31,0,0,1,0,5,2,562,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
190,51,0,2127,1,0,5,2,172,1,-1,0,no,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
191,33,0,377,1,0,5,2,217,1,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
192,55,0,73,1,0,5,2,142,2,-1,0,no,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
193,42,0,445,1,0,5,2,67,1,-1,0,no,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
194,34,0,243,1,0,5,2,291,1,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
195,33,0,307,1,0,5,2,309,2,-1,0,no,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
196,38,0,155,1,0,5,2,248,1,-1,0,no,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
